ingredient,default_vol_amt,default_vol_unit,vol_conv_factor_to_cups,target_uom,target_quantity
Swedish Pearl Sugar,0.25,cup,1,grams,196
Sweet Ground Chocolate and Cocoa Blend,0.25,cup,1,ounces,4
Sweet Ground Chocolate and Cocoa Blend,0.25,cup,1,grams,112
Sweetened condensed coconut milk,1,cup,1,ounces,10.125
Sweetened condensed coconut milk,1,cup,1,grams,288
Sweetened condensed milk,0.25,cup,1,ounces,11
Sweetened condensed milk,0.25,cup,1,grams,312
Tahini paste,0.5,cup,1,ounces,9
Tahini paste,0.5,cup,1,grams,256
Tapioca (quick cooking),2,tablespoon,16,ounces,0.375
Tapioca (quick cooking),2,tablespoon,16,grams,10.5
Tapioca starch or flour,1,cup,1,ounces,4
Tapioca starch or flour,1,cup,1,grams,113
Teff flour,1,cup,1,ounces,4.75
Teff flour,1,cup,1,grams,135
The Works Bread Topping,0.25,cup,1,ounces,5
The Works Bread Topping,0.25,cup,1,grams,140
Toasted Almond Flour,1,cup,1,ounces,3.375
Toasted Almond Flour,1,cup,1,grams,96
Toffee chunks,1,cup,1,ounces,5.5
Toffee chunks,1,cup,1,grams,156
Tomato paste,2,tablespoon,16,ounces,0.5
Tomato paste,2,tablespoon,16,grams,14.5
Tropical Fruit Blend,1,cup,1,ounces,4.75
Tropical Fruit Blend,1,cup,1,grams,135
Turbinado sugar (raw),1,cup,1,ounces,6.375
Turbinado sugar (raw),1,cup,1,grams,180
Unbleached Cake Flour,1,cup,1,ounces,4.25
Unbleached Cake Flour,1,cup,1,grams,120
Vanilla Extract,1,tablespoon,16,ounces,0.5
Vanilla Extract,1,tablespoon,16,grams,14
Vegetable oil,1,cup,1,ounces,7
Vegetable oil,1,cup,1,grams,198
Vegetable shortening,0.25,cup,1,ounces,6.5
Vegetable shortening,0.25,cup,1,grams,184
Vital Wheat Gluten,2,tablespoon,16,ounces,0.3125
Vital Wheat Gluten,2,tablespoon,16,grams,9
Walnuts (chopped),1,cup,1,ounces,4
Walnuts (chopped),1,cup,1,grams,113
Walnuts (whole),0.5,cup,1,ounces,4.5
Walnuts (whole),0.5,cup,1,grams,128
Water,1,cup,1,ounces,8
Water,1,cup,1,grams,227
Wheat berries (red),1,cup,1,ounces,6.5
Wheat berries (red),1,cup,1,grams,184
Wheat bran,0.5,cup,1,ounces,2.25
Wheat bran,0.5,cup,1,grams,64
Wheat germ,0.25,cup,1,ounces,4
Wheat germ,0.25,cup,1,grams,112
White Chocolate Chips,1,cup,1,ounces,6
White Chocolate Chips,1,cup,1,grams,170
White Rye Flour,1,cup,1,ounces,3.75
White Rye Flour,1,cup,1,grams,106
White Whole Wheat Flour,1,cup,1,ounces,4
White Whole Wheat Flour,1,cup,1,grams,113
Whole Grain Flour Blend,1,cup,1,ounces,4
Whole Grain Flour Blend,1,cup,1,grams,113
Whole Wheat Flour (Premium 100%),1,cup,1,ounces,4
Whole Wheat Flour (Premium 100%),1,cup,1,grams,113
Whole Wheat Pastry Flour / Graham Flour,1,cup,1,ounces,3.375
Whole Wheat Pastry Flour / Graham Flour,1,cup,1,grams,96
Yeast (instant),1,tablespoon,16,ounces,0.333333333333333
Yeast (instant),1,tablespoon,16,grams,9
Yogurt,1,cup,1,ounces,8
Yogurt,1,cup,1,grams,227
Yuletide Cheer Fruit Blend,1,cup,1,ounces,4.5
Yuletide Cheer Fruit Blend,1,cup,1,grams,130
Zucchini (shredded),1,cup,1,ounces,4.75
Zucchini (shredded),1,cup,1,grams,135.5
